country,year,pop,continent,lifeExp,gdpPercap
BH-0,25,33.20277107,Arizona,-112.461897,100
BH-0,19,,Arizona,,97.99
BH-0,9.5,,Arizona,,94.25
BH-0,4.75,,Arizona,,84.97
BH-0,2,,Arizona,,72
BH-0,0.85,,Arizona,,59.03
BH-0,0.425,,Arizona,,46.51
BH-0,0.25,,Arizona,,38
BH-0,0.15,,Arizona,,28.98
BH-0,0.075,,Arizona,,21.24
BH-1,75,34.85491752,Arizona,-113.4275813,100
BH-1,50,,Arizona,,100
BH-1,37.5,,Arizona,,100
BH-1,25,,Arizona,,100
BH-1,19,,Arizona,,100
BH-1,9.5,,Arizona,,100
BH-1,4.75,,Arizona,,98.5
BH-1,2,,Arizona,,95.9
BH-1,0.85,,Arizona,,92.8
BH-1,0.425,,Arizona,,80.9
BH-1,0.25,,Arizona,,34.8
BH-1,0.15,,Arizona,,9.1
BH-1,0.075,,Arizona,,5.4
BH-1,0.036,,Arizona,,3.8
BH-1,0.013,,Arizona,,2.9
BH-1,0.007,,Arizona,,1.7
BH-1,0.003,,Arizona,,1.2
BH-1,0.001,,Arizona,,1
BH-2,75,,Arizona,,100
BH-2,50,,Arizona,,100
BH-2,37.5,,Arizona,,100
BH-2,25,,Arizona,,100
BH-2,19,,Arizona,,100
BH-2,9.5,,Arizona,,100
BH-2,4.75,,Arizona,,98.5
BH-2,2,,Arizona,,95.9
BH-2,0.85,,Arizona,,92.8
BH-2,0.425,,Arizona,,80.9
BH-2,0.25,,Arizona,,34.8
BH-2,0.15,,Arizona,,9.1
BH-2,0.075,,Arizona,,5.4
BH-2,0.036,,Arizona,,3.8
BH-2,0.013,,Arizona,,2.9
BH-2,0.007,,Arizona,,1.7
BH-2,0.003,,Arizona,,1.2
BH-2,0.001,,Arizona,,1
BH-3,75,,Arizona,,100
BH-3,50,,Arizona,,100
BH-3,37.5,,Arizona,,100
BH-3,25,,Arizona,,100
BH-3,19,,Arizona,,100
BH-3,9.5,,Arizona,,100
BH-3,4.75,,Arizona,,100
BH-3,2,,Arizona,,100
BH-3,0.85,,Arizona,,100
BH-3,0.425,,Arizona,,99.7
BH-3,0.25,,Arizona,,98.9
BH-3,0.15,,Arizona,,96.5
BH-3,0.075,,Arizona,,68.8
BH-3,0.036,,Arizona,,34.1
BH-3,0.013,,Arizona,,10.2
BH-3,0.007,,Arizona,,5.7
BH-3,0.003,,Arizona,,4.3
BH-3,0.001,,Arizona,,3.1
BH-4,75,,Arizona,,100
BH-4,50,,Arizona,,100
BH-4,37.5,,Arizona,,100
BH-4,25,,Arizona,,100
BH-4,19,,Arizona,,100
BH-4,9.5,,Arizona,,100
BH-4,4.75,,Arizona,,99.9
BH-4,2,,Arizona,,99.8
BH-4,0.85,,Arizona,,99.7
BH-4,0.425,,Arizona,,97.4
BH-4,0.25,,Arizona,,66.7
BH-4,0.15,,Arizona,,26.5
BH-4,0.075,,Arizona,,12.2
BH-4,0.036,,Arizona,,7.3
BH-4,0.013,,Arizona,,5.4
BH-4,0.007,,Arizona,,3.1
BH-4,0.003,,Arizona,,1.5
BH-4,0.001,,Arizona,,1.3
BH-5,75,,Arizona,,100
BH-5,50,,Arizona,,100
BH-5,37.5,,Arizona,,100
BH-5,25,,Arizona,,100
BH-5,19,,Arizona,,100
BH-5,9.5,,Arizona,,100
BH-5,4.75,,Arizona,,100
BH-5,2,,Arizona,,99.9
BH-5,0.85,,Arizona,,98.9
BH-5,0.425,,Arizona,,96.8
BH-5,0.25,,Arizona,,92
BH-5,0.15,,Arizona,,77.3
BH-5,0.075,,Arizona,,61
BH-5,0.036,,Arizona,,50.8
BH-5,0.013,,Arizona,,43.8
BH-5,0.007,,Arizona,,37.3
BH-5,0.003,,Arizona,,28.6
BH-5,0.001,,Arizona,,19.6
BH-6,75,,Arizona,,100
BH-6,50,,Arizona,,100
BH-6,37.5,,Arizona,,100
BH-6,25,,Arizona,,100
BH-6,19,,Arizona,,100
BH-6,9.5,,Arizona,,100
BH-6,4.75,,Arizona,,100
BH-6,2,,Arizona,,99.9
BH-6,0.85,,Arizona,,99.6
BH-6,0.425,,Arizona,,98.1
BH-6,0.25,,Arizona,,92.8
BH-6,0.15,,Arizona,,75
BH-6,0.075,,Arizona,,47.2
BH-6,0.036,,Arizona,,21
BH-6,0.013,,Arizona,,12.7
BH-6,0.007,,Arizona,,9.6
BH-6,0.003,,Arizona,,6.6
BH-6,0.001,,Arizona,,6
BH-7,75,,Arizona,,100
BH-7,50,,Arizona,,100
BH-7,37.5,,Arizona,,100
BH-7,25,,Arizona,,100
BH-7,19,,Arizona,,100
BH-7,9.5,,Arizona,,100
BH-7,4.75,,Arizona,,99.9
BH-7,2,,Arizona,,99.6
BH-7,0.85,,Arizona,,98
BH-7,0.425,,Arizona,,88
BH-7,0.25,,Arizona,,53
BH-7,0.15,,Arizona,,17.5
BH-7,0.075,,Arizona,,8.6
BH-7,0.036,,Arizona,,5.8
BH-7,0.013,,Arizona,,4.6
BH-7,0.007,,Arizona,,3.2
BH-7,0.003,,Arizona,,1.5
BH-7,0.001,,Arizona,,1.3
BH-8,75,,Arizona,,100
BH-8,50,,Arizona,,100
BH-8,37.5,,Arizona,,100
BH-8,25,,Arizona,,100
BH-8,19,,Arizona,,100
BH-8,9.5,,Arizona,,100
BH-8,4.75,,Arizona,,99.5
BH-8,2,,Arizona,,97.3
BH-8,0.85,,Arizona,,93.8
BH-8,0.425,,Arizona,,71.4
BH-8,0.25,,Arizona,,29
BH-8,0.15,,Arizona,,17.1
BH-8,0.075,,Arizona,,12.2
BH-8,0.036,,Arizona,,6.8
BH-8,0.013,,Arizona,,3.7
BH-8,0.007,,Arizona,,2.2
BH-8,0.003,,Arizona,,1.6
BH-8,0.001,,Arizona,,1
BH-9,75,,Arizona,,100
BH-9,50,,Arizona,,100
BH-9,37.5,,Arizona,,100
BH-9,25,,Arizona,,100
BH-9,19,,Arizona,,100
BH-9,9.5,,Arizona,,100
BH-9,4.75,,Arizona,,99.6
BH-9,2,,Arizona,,99.2
BH-9,0.85,,Arizona,,95.6
BH-9,0.425,,Arizona,,75.7
BH-9,0.25,,Arizona,,44.4
BH-9,0.15,,Arizona,,32.6
BH-9,0.075,,Arizona,,24.8
BH-9,0.036,,Arizona,,15
BH-9,0.013,,Arizona,,10.7
BH-9,0.007,,Arizona,,8.1
BH-9,0.003,,Arizona,,6
BH-9,0.001,,Arizona,,4.6
BH-10,75,,Arizona,,100
BH-10,50,,Arizona,,100
BH-10,37.5,,Arizona,,100
BH-10,25,,Arizona,,100
BH-10,19,,Arizona,,100
BH-10,9.5,,Arizona,,98.7
BH-10,4.75,,Arizona,,94.4
BH-10,2,,Arizona,,85.3
BH-10,0.85,,Arizona,,70.1
BH-10,0.425,,Arizona,,53
BH-10,0.25,,Arizona,,37.6
BH-10,0.15,,Arizona,,25.6
BH-10,0.075,,Arizona,,18.3
BH-10,0.036,,Arizona,,13.6
BH-10,0.013,,Arizona,,7.2
BH-10,0.007,,Arizona,,5.1
BH-10,0.003,,Arizona,,3.3
BH-10,0.001,,Arizona,,2.3
